model,name,missing_type,rho,dMAE,dACC,dF1,gainMAE,aware_mae,unaware_mae
ablate_a0_plain,A0 朴素融合（无缺失处理）,text,0.5,0.05514030158519745,-0.0625,-0.05816336849492565,0.0,0.6561138480901718,0.6561138480901718
ablate_a0_plain,A0 朴素融合（无缺失处理）,text,1.0,0.16224145889282227,-0.23351648351648358,-0.29662491505764926,0.0,0.7632150053977966,0.7632150053977966
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio,0.1,0.003903433680534363,-0.004807692307692291,-0.004665326679414161,0.0,0.6048769801855087,0.6048769801855087
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio,0.2,0.011540889739990234,-0.012362637362637346,-0.010141684363059927,0.0,0.6125144362449646,0.6125144362449646
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio,0.3,0.021825462579727173,-0.022321428571428575,-0.01820539844110322,0.0,0.6227990090847015,0.6227990090847015
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio,0.5,0.05395561456680298,-0.058035714285714274,-0.049861838593578484,0.0,0.6549291610717773,0.6549291610717773
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio,1.0,0.16299229860305786,-0.27609890109890106,-0.3447992705583632,0.0,0.7639658451080322,0.7639658451080322
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio+vision,0.1,0.003960311412811279,-0.007554945054945028,-0.007794076497484731,0.0,0.6049338579177856,0.6049338579177856
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio+vision,0.2,0.013081103563308716,-0.00824175824175824,-0.006275344171241509,0.0,0.6140546500682831,0.6140546500682831
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio+vision,0.3,0.023746132850646973,-0.01579670329670327,-0.010613299653716296,0.0,0.6247196793556213,0.6247196793556213
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio+vision,0.5,0.058531567454338074,-0.05906593406593402,-0.050113073855927115,0.0,0.6595051139593124,0.6595051139593124
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio+vision,1.0,0.1832420825958252,-0.34752747252747257,-0.45872524849761875,0.0,0.7842156291007996,0.7842156291007996
ablate_a0_plain,A0 朴素融合（无缺失处理）,vision,0.1,-0.00011715292930603027,0.0024038461538461453,0.0022756303055380678,0.0,0.6008563935756683,0.6008563935756683
ablate_a0_plain,A0 朴素融合（无缺失处理）,vision,0.2,0.0002759695053100586,0.001717032967032961,0.0015484750632927535,0.0,0.6012495160102844,0.6012495160102844
ablate_a0_plain,A0 朴素融合（无缺失处理）,vision,0.3,0.0004765838384628296,0.004120879120879106,0.004245537065756699,0.0,0.6014501303434372,0.6014501303434372
ablate_a0_plain,A0 朴素融合（无缺失处理）,vision,0.5,0.002050146460533142,0.0013736263736263687,0.0011642956444617436,0.0,0.6030236929655075,0.6030236929655075
ablate_a0_plain,A0 朴素融合（无缺失处理）,vision,1.0,0.006461679935455322,0.010989010989011061,0.011394757061698124,0.0,0.6074352264404297,0.6074352264404297
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio,0.1,-0.00046887993812561035,0.003777472527472514,0.00328603450264206,8.299946784973145e-06,0.5985455811023712,0.5985538810491562
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio,0.2,-0.0008289515972137451,0.006181318681318659,0.005359311109518844,-2.816319465637207e-06,0.5981855094432831,0.5981826931238174
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio,0.3,-0.0011060833930969238,0.008585164835164805,0.007855797053672564,-9.98377799987793e-06,0.5979083776473999,0.5978983938694
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio,0.5,-0.00201241672039032,0.011675824175824134,0.011041969842706001,-3.142654895782471e-05,0.5970020443201065,0.5969706177711487
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio,1.0,-0.002821683883666992,0.013736263736263687,0.013394146064661605,-0.0001671314239501953,0.5961927771568298,0.5960256457328796
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio+vision,0.1,-0.000582277774810791,0.003777472527472514,0.0031511547066465917,-2.9280781745910645e-05,0.598432183265686,0.5984029024839401
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio+vision,0.2,-0.0005352050065994263,0.005494505494505475,0.004544359271000359,-8.016824722290039e-05,0.5984792560338974,0.5983990877866745
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio+vision,0.3,-0.0005288422107696533,0.00789835164835162,0.007250035292775098,-0.0001388341188430786,0.5984856188297272,0.5983467847108841
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio+vision,0.5,0.0006938725709915161,0.010302197802197766,0.009868432376430675,-0.0002543926239013672,0.5997083336114883,0.599453940987587
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio+vision,1.0,0.005803287029266357,0.026098901098901006,0.024049957489849616,-0.0005324482917785645,0.6048177480697632,0.6042852997779846
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text,0.1,0.006185293197631836,0.0010302197802197488,2.1891398025386533e-05,4.03672456741333e-05,0.6051997542381287,0.6052401214838028
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text,0.2,0.015105828642845154,0.00240384615384609,0.002165385140096898,7.432699203491211e-05,0.614120289683342,0.6141946166753769
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text,0.3,0.025997743010520935,-0.008928571428571452,-0.0075594690703216505,0.0001335740089416504,0.6250122040510178,0.6251457780599594
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text,0.5,0.057879671454429626,-0.04292582417582422,-0.039636834223711614,0.00025218725204467773,0.6568941324949265,0.6571463197469711
