model,name,missing_type,position,dMAE,dACC,dF1,gainMAE,aware_mae,unaware_mae
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio,random,0.05122556686401367,-0.07417582417582416,-0.08332375127138013,0.0,0.6521991133689881,0.6521991133689881
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio,tail,0.0523720383644104,-0.062087912087912075,-0.07643203790723388,0.0,0.6533455848693848,0.6533455848693848
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio+vision,head,0.05664879083633423,-0.08269230769230768,-0.10267928265571105,0.0,0.6576223373413086,0.6576223373413086
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio+vision,middle,0.054196643829345706,-0.10302197802197802,-0.11959797037186856,0.0,0.6551701903343201,0.6551701903343201
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio+vision,random,0.05710322856903076,-0.089010989010989,-0.10675882085738783,0.0,0.6580767750740051,0.6580767750740051
ablate_a0_plain,A0 朴素融合（无缺失处理）,text+audio+vision,tail,0.05810029506683349,-0.07582417582417583,-0.09778076025582327,0.0,0.6590738415718078,0.6590738415718078
ablate_a0_plain,A0 朴素融合（无缺失处理）,vision,head,0.0014054656028747558,0.002472527472527486,0.002707650452034116,0.0,0.6023790121078492,0.6023790121078492
ablate_a0_plain,A0 朴素融合（无缺失处理）,vision,middle,0.0018541216850280762,0.0054945054945054975,0.005267971323365117,0.0,0.6028276681900024,0.6028276681900024
ablate_a0_plain,A0 朴素融合（无缺失处理）,vision,random,0.002170825004577637,0.005219780219780224,0.005152043970957742,0.0,0.603144371509552,0.603144371509552
ablate_a0_plain,A0 朴素融合（无缺失处理）,vision,tail,0.001887369155883789,0.003296703296703307,0.003375290366240935,0.0,0.6028609156608582,0.6028609156608582
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio,head,-0.0009938836097717284,0.007692307692307665,0.007316586838947714,-3.834962844848633e-05,0.5980205774307251,0.5979822278022766
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio,middle,-0.002174818515777588,0.00659340659340657,0.006510673384992916,-4.438161849975586e-05,0.5968396425247192,0.5967952609062195
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio,random,-0.0008664846420288086,0.011263736263736224,0.010144714317116211,-4.1985511779785155e-05,0.5981479763984681,0.5981059908866883
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio,tail,-0.001755225658416748,0.009615384615384581,0.008777832317504019,-3.7729740142822266e-05,0.59725923538208,0.5972215056419372
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio+vision,head,0.0014247775077819824,0.012087912087912045,0.011369576491418787,-0.00020204782485961915,0.6004392385482789,0.6002371907234192
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio+vision,middle,0.0006038546562194824,0.009615384615384581,0.008882641775206613,-0.00021394491195678711,0.5996183156967163,0.5994043707847595
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio+vision,random,0.0008471131324768067,0.009890109890109855,0.00891009129678717,-0.00020850896835327147,0.5998615741729736,0.5996530652046204
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,audio+vision,tail,0.0010049223899841308,0.011263736263736224,0.009928841745949301,-0.0002035975456237793,0.600019383430481,0.5998157858848572
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text,head,0.05471146106719971,-0.04175824175824181,-0.055646710991268944,9.567737579345703e-05,0.6537259221076965,0.65382159948349
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text,middle,0.05352630615234375,-0.06071428571428579,-0.07064186673060939,0.00011461973190307617,0.6525407671928406,0.6526553869247437
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text,random,0.054514944553375244,-0.0582417582417583,-0.07022801715169305,0.00010613203048706054,0.6535294055938721,0.6536355376243591
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text,tail,0.05507748126983643,-0.0483516483516484,-0.062048497795194876,7.706880569458008e-05,0.6540919423103333,0.6541690111160279
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio,head,0.05360221862792969,-0.050549450549450606,-0.06450563283608984,0.00023866891860961913,0.6526166796684265,0.6528553485870361
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio,middle,0.05162101984024048,-0.06456043956043964,-0.07424575009485992,0.00019544363021850586,0.6506354808807373,0.6508309245109558
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio,random,0.054232025146484376,-0.056318681318681375,-0.06799964581833286,0.0002042531967163086,0.6532464861869812,0.6534507393836975
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio,tail,0.05353628396987915,-0.0461538461538462,-0.06075264508811976,0.00019640922546386718,0.652550745010376,0.6527471542358398
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio+vision,head,0.058599889278411865,-0.06510989010989016,-0.08888784624266347,2.4878978729248046e-05,0.6576143503189087,0.657639229297638
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio+vision,middle,0.05656558275222778,-0.08241758241758249,-0.10168913378122908,6.3300132751464845e-06,0.6555800437927246,0.6555863738059997
ablate_a1_plain_ind,A1 朴素融合 + 掩码指示 + 缺失注入,text+audio+vision,random,0.059837067127227785,-0.06978021978021981,-0.09089244086003205,1.239776611328125e-06,0.6588515281677246,0.6588527679443359
