phase,epoch,loss,valid_mae,reg,reg_main,reg_var,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd
student,5,1.418478270371755,0.6177511811256409,0.49657362423561235,0.46114935753522096,0.35424266314065017,0.9219046466880374,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,6,1.3584044200402718,0.611831784248352,0.4569000472073202,0.42671560606470815,0.3018444217224088,0.9015043664861608,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,7,1.344377714174765,0.6065630316734314,0.45766285006646756,0.4284031120715318,0.29259738188098977,0.8867148580374541,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,8,1.3200715537424441,0.6057708263397217,0.4423490111474638,0.41570364545892785,0.26645366944096704,0.8777225381798215,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
student,9,1.3123314380645752,0.6041520237922668,0.4365800726744864,0.41060083028342986,0.25979240890592337,0.8757513695293002,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,10,1.2982785392690588,0.6034584641456604,0.43274930478246126,0.40729255394803154,0.25456751972712854,0.8655292413852833,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,11,1.2903002434306674,0.6029147505760193,0.42827840039023646,0.40445914643782155,0.23819255151061547,0.8620218546302231,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,12,1.2811199492878385,0.6016391515731812,0.41804480856215515,0.3951430432498455,0.2290176448274266,0.8630751316194181,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,13,1.2897644804583654,0.6014131903648376,0.42520869757842134,0.40136024342091,0.23848451439429214,0.8645557794306014,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,14,1.2992078728146024,0.6009736061096191,0.4381708969120626,0.4127118452279656,0.254590535260461,0.861036972867118,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,15,1.2832894656393263,0.6014018058776855,0.42168179319964516,0.39797314449592874,0.23708648193213674,0.8616076796143143,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,16,1.2811879714330037,0.601378321647644,0.42722836826686506,0.4026847023654867,0.24543667256970098,0.8539596067534553,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,17,1.2842686419133786,0.6017612218856812,0.4196577083181452,0.39733553153497203,0.22322177617914146,0.8646109313876541,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,18,1.268445160653856,0.6016696095466614,0.41772300494765796,0.3955044980264372,0.2221850748691294,0.8507221517739473,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
student,19,1.2634009685781267,0.6017159819602966,0.41527167804263254,0.3928729510969586,0.22398725731505287,0.8481292857064141,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0
