split,order_by,coverage,n,mae,acc,f1
valid,oracle_acc,0.05,36,0.41803136467933655,1.0,1.0
valid,oracle_acc,0.1,73,0.4068058431148529,1.0,1.0
valid,oracle_acc,0.15,109,0.4265359342098236,1.0,1.0
valid,oracle_acc,0.2,146,0.40209099650382996,1.0,1.0
valid,oracle_acc,0.25,182,0.4437602162361145,1.0,1.0
valid,oracle_acc,0.3,218,0.43779659271240234,1.0,1.0
valid,oracle_acc,0.35,255,0.4363877773284912,1.0,1.0
valid,oracle_acc,0.4,291,0.43337151408195496,1.0,1.0
valid,oracle_acc,0.45,328,0.4421566426753998,1.0,1.0
valid,oracle_acc,0.5,364,0.4490514099597931,1.0,1.0
valid,oracle_acc,0.55,400,0.4619302749633789,1.0,1.0
valid,oracle_acc,0.6,437,0.46874934434890747,1.0,1.0
valid,oracle_acc,0.65,473,0.4867783188819885,0.9577167019027484,0.9552414226779122
valid,oracle_acc,0.7,510,0.507635772228241,0.888235294117647,0.8804186084539284
valid,oracle_acc,0.75,546,0.5382557511329651,0.8296703296703297,0.8204617427475185
valid,oracle_acc,0.8,582,0.5512860417366028,0.7783505154639175,0.7686941140118398
valid,oracle_acc,0.85,619,0.5536739230155945,0.7318255250403877,0.7231563980776191
valid,oracle_acc,0.9,655,0.56551194190979,0.6916030534351145,0.6832194397333731
valid,oracle_acc,0.95,692,0.5802470445632935,0.6546242774566474,0.6471023340588559
valid,oracle_acc,1.0,728,0.5866155624389648,0.6222527472527473,0.6158452245491158
test,sigma_total(升序),0.05,36,0.4670664966106415,0.5277777777777778,0.36768018018018017
test,sigma_total(升序),0.1,73,0.4074884057044983,0.5205479452054794,0.3561771561771561
test,sigma_total(升序),0.15,109,0.4315375089645386,0.5229357798165137,0.3651340996168582
test,sigma_total(升序),0.2,145,0.4328281283378601,0.5724137931034483,0.4035555555555555
test,sigma_total(升序),0.25,182,0.44759345054626465,0.5824175824175825,0.4095863486107389
test,sigma_total(升序),0.3,218,0.4509054720401764,0.573394495412844,0.40897460500223887
test,sigma_total(升序),0.35,254,0.4658319056034088,0.5787401574803149,0.4297947204833241
test,sigma_total(升序),0.4,291,0.47890007495880127,0.5807560137457045,0.4568128726619293
test,sigma_total(升序),0.45,327,0.481393426656723,0.5963302752293578,0.4739459586642847
test,sigma_total(升序),0.5,364,0.49101099371910095,0.6098901098901099,0.48550330879164055
test,sigma_total(升序),0.55,400,0.5132427215576172,0.6075,0.511929712207935
test,sigma_total(升序),0.6,436,0.5189679265022278,0.6032110091743119,0.5189645763636795
test,sigma_total(升序),0.65,473,0.5330432653427124,0.6067653276955602,0.5435211653384754
test,sigma_total(升序),0.7,509,0.543059229850769,0.6129666011787819,0.5675675675675675
test,sigma_total(升序),0.75,545,0.5531511902809143,0.618348623853211,0.5838386887929502
test,sigma_total(升序),0.8,582,0.5778631567955017,0.6151202749140894,0.5844627286155246
test,sigma_total(升序),0.85,618,0.5962273478507996,0.6213592233009708,0.5964335504275994
test,sigma_total(升序),0.9,654,0.6045567393302917,0.6299694189602446,0.6095762690105967
test,sigma_total(升序),0.95,691,0.6058388352394104,0.6425470332850941,0.6239757156423823
test,sigma_total(升序),1.0,727,0.6216422319412231,0.6533700137551581,0.6337769922081339
test,entropy(升序),0.05,36,0.5525404214859009,0.9444444444444444,0.6131996658312447
test,entropy(升序),0.1,73,0.6039689183235168,0.9041095890410958,0.6088011088011088
test,entropy(升序),0.15,109,0.6523998975753784,0.8990825688073395,0.6165479315085615
test,entropy(升序),0.2,145,0.6540842652320862,0.8896551724137931,0.6134535580716225
test,entropy(升序),0.25,182,0.6553782224655151,0.8901098901098901,0.6155095148405533
test,entropy(升序),0.3,218,0.6798790097236633,0.8761467889908257,0.6053509685796682
